Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_DeleteCart,Edge Chromium 122,,,03-03-2024 14:29:18,03-03-2024 14:29:35,16.945s,PASSED
,,,,,,,
Test Cases/TC_16_DeleteCart,Edge Chromium 122,,,03-03-2024 14:29:19,03-03-2024 14:29:35,16.431s,PASSED
"openBrowser("""")",Edge Chromium 122,,,03-03-2024 14:29:19,03-03-2024 14:29:26,6.348s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 122,,,03-03-2024 14:29:26,03-03-2024 14:29:28,2.096s,PASSED
"click(findTestObject(""Object Repository/DeleteCartObjRep/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 122,,,03-03-2024 14:29:28,03-03-2024 14:29:30,2.136s,PASSED
"click(findTestObject(""Object Repository/DeleteCartObjRep/Page_JPetStore Demo/img""))",Edge Chromium 122,,,03-03-2024 14:29:30,03-03-2024 14:29:31,0.774s,PASSED
"click(findTestObject(""Object Repository/DeleteCartObjRep/Page_JPetStore Demo/a_K9-BD-01""))",Edge Chromium 122,,,03-03-2024 14:29:31,03-03-2024 14:29:31,0.734s,PASSED
"click(findTestObject(""Object Repository/DeleteCartObjRep/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 122,,,03-03-2024 14:29:31,03-03-2024 14:29:32,0.810s,PASSED
"click(findTestObject(""Object Repository/DeleteCartObjRep/Page_JPetStore Demo/a_Remove""))",Edge Chromium 122,,,03-03-2024 14:29:32,03-03-2024 14:29:33,0.945s,PASSED
"verifyElementText(findTestObject(""Object Repository/DeleteCartObjRep/Page_JPetStore Demo/b_Your cart is empty""), ""Your cart is empty."")",Edge Chromium 122,,,03-03-2024 14:29:33,03-03-2024 14:29:34,0.613s,PASSED
closeBrowser(),Edge Chromium 122,,,03-03-2024 14:29:34,03-03-2024 14:29:35,1.314s,PASSED
