Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_18_PurchaseCat,Edge Chromium 122,,,03-03-2024 15:19:54,03-03-2024 15:21:23,1m - 29.290s,PASSED
,,,,,,,
Test Cases/TC_18_PurchaseCat,Edge Chromium 122,,,03-03-2024 15:19:54,03-03-2024 15:21:23,1m - 28.918s,PASSED
"openBrowser("""")",Edge Chromium 122,,,03-03-2024 15:19:55,03-03-2024 15:20:02,7.849s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 122,,,03-03-2024 15:20:02,03-03-2024 15:20:05,2.222s,PASSED
"click(findTestObject(""Object Repository/PurchaseCatObjRep/a_Enter the Store""))",Edge Chromium 122,,,03-03-2024 15:20:05,03-03-2024 15:20:07,2.110s,PASSED
"click(findTestObject(""Object Repository/PurchaseCatObjRep/img""))",Edge Chromium 122,,,03-03-2024 15:20:07,03-03-2024 15:20:08,0.786s,PASSED
"click(findTestObject(""Object Repository/PurchaseCatObjRep/a_FL-DSH-01""))",Edge Chromium 122,,,03-03-2024 15:20:08,03-03-2024 15:20:08,0.837s,PASSED
"click(findTestObject(""Object Repository/PurchaseCatObjRep/a_Add to Cart""))",Edge Chromium 122,,,03-03-2024 15:20:08,03-03-2024 15:20:09,1.085s,PASSED
"click(findTestObject(""Object Repository/PurchaseCatObjRep/a_Proceed to Checkout""))",Edge Chromium 122,,,03-03-2024 15:20:09,03-03-2024 15:20:10,0.860s,PASSED
"setText(findTestObject(""Object Repository/PurchaseCatObjRep/input_Need a user name and password_username""), ""ajay123"")",Edge Chromium 122,,,03-03-2024 15:20:10,03-03-2024 15:21:14,1m - 4.070s,PASSED
"setEncryptedText(findTestObject(""Object Repository/PurchaseCatObjRep/input_Need a user name and password_password""), ""vzl2cAHk97k="")",Edge Chromium 122,,,03-03-2024 15:21:14,03-03-2024 15:21:15,0.480s,PASSED
"click(findTestObject(""Object Repository/PurchaseCatObjRep/input_Need a user name and password_signon""))",Edge Chromium 122,,,03-03-2024 15:21:15,03-03-2024 15:21:16,0.896s,PASSED
"click(findTestObject(""Object Repository/PurchaseCatObjRep/img""))",Edge Chromium 122,,,03-03-2024 15:21:16,03-03-2024 15:21:17,0.821s,PASSED
"click(findTestObject(""Object Repository/PurchaseCatObjRep/a_FL-DSH-01""))",Edge Chromium 122,,,03-03-2024 15:21:17,03-03-2024 15:21:17,0.693s,PASSED
"click(findTestObject(""Object Repository/PurchaseCatObjRep/a_Add to Cart""))",Edge Chromium 122,,,03-03-2024 15:21:17,03-03-2024 15:21:18,0.672s,PASSED
"click(findTestObject(""Object Repository/PurchaseCatObjRep/a_Proceed to Checkout""))",Edge Chromium 122,,,03-03-2024 15:21:18,03-03-2024 15:21:19,0.705s,PASSED
"click(findTestObject(""Object Repository/PurchaseCatObjRep/input_Ship to different address_shippingAdd_0f9b79""))",Edge Chromium 122,,,03-03-2024 15:21:19,03-03-2024 15:21:19,0.394s,PASSED
"click(findTestObject(""Object Repository/PurchaseCatObjRep/input_Ship to different address_newOrder""))",Edge Chromium 122,,,03-03-2024 15:21:19,03-03-2024 15:21:20,1.245s,PASSED
"click(findTestObject(""Object Repository/PurchaseCatObjRep/input_Ship to different address_newOrder""))",Edge Chromium 122,,,03-03-2024 15:21:20,03-03-2024 15:21:21,0.679s,PASSED
"click(findTestObject(""Object Repository/PurchaseCatObjRep/a_Confirm""))",Edge Chromium 122,,,03-03-2024 15:21:21,03-03-2024 15:21:22,0.697s,PASSED
"verifyElementText(findTestObject(""Object Repository/PurchaseCatObjRep/li_Thank you, your order has been submitted""), ""Thank you, your order has been submitted."")",Edge Chromium 122,,,03-03-2024 15:21:22,03-03-2024 15:21:22,0.394s,PASSED
closeBrowser(),Edge Chromium 122,,,03-03-2024 15:21:22,03-03-2024 15:21:23,0.833s,PASSED
